filename,Food_Description,clean_description,manual_fix,manual_description,database_used,GTIN/UPC,Full_Ingredient_List,token_removed
54161e6d453ea2130cc09509e042.jpeg,"Doughnut, cake type, plain","{'doughnut', 'cake'}",Y,"{'flour', 'oil', 'sugar', 'egg', 'milk', 'salt'}",Branded Foods,72470000446,"{'flour', 'water', 'oil', 'sugar', 'egg', 'milk', 'salt', 'starch'}",'baking soda'
c6db4d704b49b91127a22299efe5.jpeg,"Doughnut, cake type, plain","{'doughnut', 'cake'}",Y,"{'flour', 'oil', 'sugar', 'egg', 'milk', 'salt'}",Branded Foods,72470000446,"{'flour', 'water', 'oil', 'sugar', 'egg', 'milk', 'salt', 'starch'}",'baking soda'
184bf8dc4658892f1e30e6b4f901.jpeg,"Cookie, chocolate chip, made from home recipe or purchased at a bakery, Peanut butter","{'butter', 'cookie', 'chip', 'chocolate', 'peanut'}",Y,"{'flour', 'sugar', 'brown sugar', 'peanut butter', 'shortening', 'chocolate chip', 'egg', 'baking soda', 'vanilla extract'}",Branded Foods,6.89E+11,"{'flour', 'sugar', 'peanut', 'butter', 'chocolate', 'egg', 'vanilla'}",'baking soda'
68bd49f14e6ea7898ff48ee72f9a.jpeg,"Brussels sprouts, cooked, from frozen, made with oil, Bacon bits","{'oil', 'bacon', 'bit', 'sprout'}",Y,NA,NA,NA,"{'oil', 'bacon', 'sprout'}",NA
a69da26347fd97e27f253fe19041.jpeg,"Corn dog, frankfurter or hot dog with cornbread coating, Tomato catsup","{'tomato', 'frankfurter', 'catsup', 'corn', 'cornbread'}",Y,NA,NA,NA,"{'tomato', 'vinegar', 'salt', 'onion', 'frankfurter', 'cornmeal', 'sugar'}",baking powder'
3a4dde2a4241bf7e1f5dc7915abf.jpeg,"Egg, whole, fried with cooking spray, Waffle, plain","{'egg', 'waffle'}",Y,NA,NA,NA,"{'egg', 'flour', 'milk', 'butter', 'salt', 'buttermilk', 'sugar', 'vanilla'}",baking powder'
8c8654d7401e8e0993e9a57bfe06.jpeg,"Muffin, English, Egg, whole, fried with oil","{'egg', 'muffin', 'oil'}",Y,NA,NA,NA,"{'egg', 'flour', 'butter', 'salt', 'milk', 'sugar', 'oil'}",baking powder'
958e1a9a44c99fd043ce375c9453.jpeg,"Spinach, raw, Tomatoes, raw, Alfalfa sprouts, raw, Muffin, English, Egg omelet or scrambled egg, made with oil, Cheese, cream, Olive oil, Cheese, Mozzarella, part skim","{'cheese', 'egg', 'omelet', 'muffin', 'alfalfa', 'tomato', 'olive', 'oil', 'cream', 'mozzarella', 'spinach', 'sprout'}",Y,NA,NA,NA,"{'cheese', 'egg', 'flour', 'butter', 'salt', 'milk', 'sugar', 'alfalfa', 'tomato', 'oil', 'spinach', 'sprout'}",baking powder'
f044f9ac44e4a40eb05400a55a92.jpeg,"Waffle, chocolate, from frozen, Peanut butter, lower sodium and lower sugar","{'butter', 'chocolate', 'waffle', 'sugar', 'peanut'}",Y,NA,NA,NA,"{'butter', 'chocolate', 'egg', 'flour', 'milk', 'salt', 'buttermilk', 'vanilla', 'sugar', 'peanut'}",baking powder'
95bb830f4b4ea3624f18a4c47f42.jpeg,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling, butter, without salt, salad dressing, mayonnaise, regular, candies, semisweet chocolate, sugars, powdered, salt, table","{'cupcake', 'icing', 'butter', 'salad', 'cake', 'salt', 'chocolate', 'devil', 'mayonnaise', 'sugar', 'fudge', 'candy'}",Y,NA,NA,NA,"{'butter', 'flour', 'milk', 'salt', 'chocolate', 'oil', 'egg', 'sugar', 'fudge', 'candy'}",baking soda'
