filename,Food_Description,top1,food_count,Occ_Name,clean_description,clean_im2r,F1_score
53ac4c884c2fb69835094ab097b0.jpeg,"Coffee, Latte, flavored","Cereal, Almond milk",1,Breakfast,"{'coffee', 'latte'}","{'milk', 'cereal', 'almond'}",0.0
4da70b3340a29986d65c48ec8355.jpeg,"Orange, raw",Orange juice,1,Breakfast,{'orange'},"{'orange', 'juice'}",0.6666666666666666
f134c9834830888e1cb50451e076.jpeg,"Cheese, cottage, low fat, Blueberries, raw","Tomatoes, Broccoli, Rapeseed oil, Rice, Egg omelet or scrambled egg",2,Breakfast,"{'blueberry', 'cottage', 'cheese'}","{'rapeseed', 'broccoli', 'oil', 'egg', 'tomato', 'rice', 'omelet'}",0.0
eeb705c240f1a7757ae242fbd8b7.jpeg,"Lettuce, arugula, raw, Lettuce, Boston, raw, Mixed salad greens, raw, Mixed salad greens, raw, Mixed salad greens, raw, Chicken, NS as to part and cooking method, skin not eaten, Cheese, Parmesan, dry grated, Tomatoes, raw, Italian dressing, made with vinegar and oil","Cucumber, Croutons, Tomatoes, Mixed salad greens, Chicken, Italian dressing, Romaine lettuce",9,Breakfast,"{'lettuce', 'arugula', 'cheese', 'chicken', 'parmesan', 'vinegar', 'tomato', 'oil', 'salad', 'green'}","{'lettuce', 'cucumber', 'romaine', 'chicken', 'tomato', 'crouton', 'salad', 'green'}",0.5555555555555556
d8f6522443d2b73ec2505b1c37bc.jpeg,"Tomatoes, raw, Salami, NFS, Cheese, Colby Jack, Crackers, rice, Cheese, Blue or Roquefort, Cheese, processed, with vegetables","Pork, Cabbage, Chives, Soup, Shrimp, Ham or pork with barbecue sauce",6,Dinner,"{'roquefort', 'cracker', 'salami', 'cheese', 'tomato', 'rice', 'vegetable'}","{'pork', 'soup', 'cabbage', 'ham', 'chive', 'shrimp'}",0.0
de12fc0242468972f8ee1a9795cd.jpeg,"Sauerkraut, cooked, NS as to fat added in cooking","Potato chips, Olive oil",1,Dinner,{'sauerkraut'},"{'potato', 'oil', 'chip', 'olive'}",0.0
a93216914ef5ae9d760ac9db42a3.jpeg,"Coffee, Latte, flavored","Cranberry juice drink, Carbonated water",1,Breakfast,"{'coffee', 'latte'}","{'juice', 'cranberry'}",0.0
3fdc81394c5885ce290f7eaff062.jpeg,"Tortilla, whole wheat, Fish, NS as to type, baked or broiled, made without fat, Cucumber, raw, Cheese, cream","Salad dressing, Bread stuffing, Olive oil, Alfalfa sprouts, Egg, Romaine lettuce, Mixed salad greens, Mayonnaise",4,Breakfast,"{'cream', 'wheat', 'cucumber', 'tortilla', 'cheese', 'fish'}","{'olive', 'lettuce', 'romaine', 'mayonnaise', 'stuffing', 'alfalfa', 'oil', 'sprout', 'egg', 'salad', 'bread', 'green'}",0.0
ed89f0774b30801ef3079d6ce0a1.jpeg,Frozen coffee drink,"Cranberry juice drink, Carbonated water",1,Lunch,{'coffee'},"{'juice', 'cranberry'}",0.0
4mlmun08niojaxaua968ba517tiw.jpeg,"Lettuce, arugula, raw, Mixed salad greens, raw, Lettuce, raw, Mixed salad greens, raw, Mixed salad greens, raw, Spinach, raw, Salmon, cooked, NS as to cooking method, Egg, whole, boiled or poached, Tomatoes, raw, Mushrooms, raw, Italian dressing, made with vinegar and oil","Cucumber, Croutons, Tomatoes, Mixed salad greens, Chicken, Italian dressing, Romaine lettuce",11,Lunch,"{'lettuce', 'arugula', 'salmon', 'mushroom', 'spinach', 'oil', 'egg', 'tomato', 'vinegar', 'salad', 'green'}","{'lettuce', 'cucumber', 'romaine', 'chicken', 'tomato', 'crouton', 'salad', 'green'}",0.4210526315789474
